Name,Server,EDBFilePath,LogFolderPath,DeletedItemRetention,GC,OAB,RetainDeletedItemsUntilBackup,IndexEnabled,CircularLoggingEnabled,ProhibitSendReceiveQuota,ProhibitSendQuota,IssueWarningQuota,AllowFileRestore,BackgroundDatabaseMaintenance,IsExcludedFromProvisioning,IsSuspendedFromProvisioning,MailboxRetention,MountAtStartup,EventHistoryRetentionPeriod,AutoDagExcludeFromMonitoring,CalendarLoggingQuota,IsExcludedFromInitialProvisioning,DataMoveReplicationConstraint,RecoverableItemsQuota,RecoverableItemsWarningQuota
"DAG1-DB024","msx-mh06","C:\ExchangeDatabases\DAG1-DB024\DAG1-DB024.db\DAG1-DB024.edb","C:\ExchangeDatabases\DAG1-DB024\DAG1-DB024.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB025","msx-tp01","C:\ExchangeDatabases\DAG1-DB025\DAG1-DB025.db\DAG1-DB025.edb","C:\ExchangeDatabases\DAG1-DB025\DAG1-DB025.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB026","msx-tp02","C:\ExchangeDatabases\DAG1-DB026\DAG1-DB026.db\DAG1-DB026.edb","C:\ExchangeDatabases\DAG1-DB026\DAG1-DB026.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB027","msx-tp03","C:\ExchangeDatabases\DAG1-DB027\DAG1-DB027.db\DAG1-DB027.edb","C:\ExchangeDatabases\DAG1-DB027\DAG1-DB027.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB028","msx-tp04","C:\ExchangeDatabases\DAG1-DB028\DAG1-DB028.db\DAG1-DB028.edb","C:\ExchangeDatabases\DAG1-DB028\DAG1-DB028.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB029","msx-tp05","C:\ExchangeDatabases\DAG1-DB029\DAG1-DB029.db\DAG1-DB029.edb","C:\ExchangeDatabases\DAG1-DB029\DAG1-DB029.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB030","msx-tp06","C:\ExchangeDatabases\DAG1-DB030\DAG1-DB030.db\DAG1-DB030.edb","C:\ExchangeDatabases\DAG1-DB030\DAG1-DB030.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB031","msx-mh01","C:\ExchangeDatabases\DAG1-DB031\DAG1-DB031.db\DAG1-DB031.edb","C:\ExchangeDatabases\DAG1-DB031\DAG1-DB031.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB032","msx-mh02","C:\ExchangeDatabases\DAG1-DB032\DAG1-DB032.db\DAG1-DB032.edb","C:\ExchangeDatabases\DAG1-DB032\DAG1-DB032.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB033","msx-mh03","C:\ExchangeDatabases\DAG1-DB033\DAG1-DB033.db\DAG1-DB033.edb","C:\ExchangeDatabases\DAG1-DB033\DAG1-DB033.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
